Global Inputs
Study Type,Direct Sun - Day
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,0.75,1,1,1.25,1.5,1.5,1.75,1.75,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,2,1.75,2,1.75,1.75,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,2,1.75,2,1.75,1.5,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,2,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,1.75,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,1.5,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.5,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.25,1.5,1.5,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1.25,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0
